id,timestamp,Axes_X_aaLeadP
i1,2023-04-28 17:19:32.000,137.65230167680573
i1,2023-04-28 17:19:32.000,137.89697163579856
i1,2023-04-28 17:19:32.000,137.904
i1,2023-04-28 17:19:35.000,137.79989601793616
i1,2023-04-28 17:19:35.000,137.66360198629718
i1,2023-04-28 17:19:35.000,137.46532664888133
i1,2023-04-28 17:19:36.000,137.337570500736
i1,2023-04-28 17:19:36.000,137.15316330029066
i1,2023-04-28 17:19:36.000,136.9781425965655
i1,2023-04-28 17:19:36.000,136.86708656669896
i1,2023-04-28 17:19:37.000,136.71015968994217
i1,2023-04-28 17:19:37.000,136.6130839527364
i1,2023-04-28 17:19:37.000,136.4789690487292
i1,2023-04-28 17:19:37.000,136.35872127985488
i1,2023-04-28 17:19:38.000,136.2862937622865
i1,2023-04-28 17:19:38.000,136.1893068112093
i1,2023-04-28 17:19:38.000,136.13244178812323
i1,2023-04-28 17:19:38.000,136.0588711803795
i1,2023-04-28 17:19:39.000,135.99940970295356
i1,2023-04-28 17:19:39.000,135.96762455213877
i1,2023-04-28 17:19:39.000,135.93175101204216
i1,2023-04-28 17:19:39.000,135.91571373713168
i1,2023-04-28 17:19:40.000,135.90348558946926
i1,2023-04-28 17:19:40.000,135.90545652587664
i1,2023-04-28 17:19:40.000,135.9146586650983
i1,2023-04-28 17:19:41.000,135.94028813577344
i1,2023-04-28 17:19:41.000,135.9800957568918
i1,2023-04-28 17:19:41.000,136.0145000387918
i1,2023-04-28 17:19:41.000,136.0778821900901
i1,2023-04-28 17:19:42.000,136.12797216022506
i1,2023-04-28 17:19:42.000,136.21482714970836
i1,2023-04-28 17:19:42.000,136.31570121165348
i1,2023-04-28 17:19:42.000,136.39071105437887
i1,2023-04-28 17:19:43.000,136.51481934217577
i1,2023-04-28 17:19:43.000,136.60525480341033
i1,2023-04-28 17:19:43.000,136.75239727965777
i1,2023-04-28 17:19:43.000,136.91307358101244
i1,2023-04-28 17:19:44.000,137.02651096370147
i1,2023-04-28 17:19:44.000,137.20499059839
i1,2023-04-28 17:19:44.000,137.39272176422148
i1,2023-04-28 17:19:44.000,137.52261400830957
i1,2023-04-28 17:19:45.000,137.72397361738535
i1,2023-04-28 17:19:45.000,137.8607433231551
i1,2023-04-28 17:19:45.000,137.904
i1,2023-04-28 17:19:48.000,137.80895510486002
i1,2023-04-28 17:19:49.000,137.62650960918762
i1,2023-04-28 17:19:49.000,137.3464744051093
i1,2023-04-28 17:19:49.000,137.15558966387695
i1,2023-04-28 17:19:49.000,136.86248373115959
i1,2023-04-28 17:19:50.000,136.56266324921796
i1,2023-04-28 17:19:50.000,136.36246420203793
i1,2023-04-28 17:19:50.000,136.06216481797156
i1,2023-04-28 17:19:50.000,135.8619648405075
i1,2023-04-28 17:19:51.000,135.5724004140521
i1,2023-04-28 17:19:51.000,135.52796020850255
i1,2023-04-28 17:19:51.000,135.68192325078678
i1,2023-04-28 17:19:52.000,135.98222496336098
i1,2023-04-28 17:19:52.000,136.18242628680514
i1,2023-04-28 17:19:52.000,136.48272874796214
i1,2023-04-28 17:19:52.000,136.68292955927038
i1,2023-04-28 17:19:53.000,136.98209199719915
i1,2023-04-28 17:19:53.000,137.27367165849236
i1,2023-04-28 17:19:53.000,137.46358539583738
i1,2023-04-28 17:19:53.000,137.7422055299792
i1,2023-04-28 17:19:54.000,137.904
i1,2023-04-28 17:19:55.000,137.87270683088053
i1,2023-04-28 17:19:55.000,137.49483404823025
i1,2023-04-28 17:19:55.000,138.255
i1,2023-04-28 17:19:56.000,138.93020388668833
i1,2023-04-28 17:19:56.000,137.61430994099078
i1,2023-04-28 17:19:56.000,137.49997297724613
i1,2023-04-28 17:19:56.000,137.41668378144226
i1,2023-04-28 17:19:57.000,137.404
i1,2023-04-28 17:19:57.000,137.64070726371307
i1,2023-04-28 17:19:57.000,137.8947631945652
i1,2023-04-28 17:19:57.000,137.904
i1,2023-04-28 17:20:01.000,138.612
i1,2023-04-28 17:20:01.000,141.53928484611956
i1,2023-04-28 17:20:01.000,165.51351448844693
i1,2023-04-28 17:20:01.000,195.0
i1,2023-04-28 17:20:03.000,202.2339645402335
i1,2023-04-28 17:20:03.000,212.4756930773512
i1,2023-04-28 17:20:03.000,217.43
i1,2023-04-28 17:20:13.000,217.42146666666667
i1,2023-04-28 17:20:13.000,159.5686857688144
i1,2023-04-28 17:20:14.000,130.79666666666665
i1,2023-04-28 17:20:14.000,128.83
i1,2023-04-28 17:20:15.000,128.56476145478277
i1,2023-04-28 17:20:15.000,127.42175877278592
i1,2023-04-28 17:20:15.000,126.6078050374751
i1,2023-04-28 17:20:16.000,125.31622362305096
i1,2023-04-28 17:20:16.000,123.94647579091384
i1,2023-04-28 17:20:16.000,122.99284968178307
i1,2023-04-28 17:20:16.000,121.50534148449627
i1,2023-04-28 17:20:17.000,119.95298301543642
i1,2023-04-28 17:20:17.000,118.888526126399
i1,2023-04-28 17:20:17.000,117.93
i1,2023-04-28 17:20:20.000,117.90133653475519
i1,2023-04-28 17:20:20.000,117.60133653475519
i1,2023-04-28 17:20:20.000,117.43
i1,2023-04-28 17:20:21.000,118.49580565805658
