id,timestamp,Axes_Z_aaTorque
i1,2023-04-28 17:19:31.000,0.532
i1,2023-04-28 17:19:31.000,0.463
i1,2023-04-28 17:19:31.000,-0.382
i1,2023-04-28 17:19:31.000,-0.29
i1,2023-04-28 17:19:32.000,0.23
i1,2023-04-28 17:19:32.000,1.075
i1,2023-04-28 17:19:32.000,1.171
i1,2023-04-28 17:19:32.000,0.9570000000000001
i1,2023-04-28 17:19:33.000,0.586
i1,2023-04-28 17:19:33.000,0.34900000000000003
i1,2023-04-28 17:19:33.000,-0.029
i1,2023-04-28 17:19:34.000,-0.354
i1,2023-04-28 17:19:34.000,-0.259
i1,2023-04-28 17:19:34.000,-0.008
i1,2023-04-28 17:19:34.000,0.23800000000000002
i1,2023-04-28 17:19:35.000,0.724
i1,2023-04-28 17:19:35.000,1.066
i1,2023-04-28 17:19:35.000,0.725
i1,2023-04-28 17:19:35.000,0.298
i1,2023-04-28 17:19:36.000,-0.016
i1,2023-04-28 17:19:36.000,-0.274
i1,2023-04-28 17:19:36.000,1.042
i1,2023-04-28 17:19:36.000,0.242
i1,2023-04-28 17:19:37.000,0.21
i1,2023-04-28 17:19:37.000,-0.035
i1,2023-04-28 17:19:37.000,0.08600000000000001
i1,2023-04-28 17:19:37.000,0.225
i1,2023-04-28 17:19:38.000,1.081
i1,2023-04-28 17:19:38.000,1.109
i1,2023-04-28 17:19:38.000,-0.23700000000000002
i1,2023-04-28 17:19:38.000,-0.254
i1,2023-04-28 17:19:39.000,0.508
i1,2023-04-28 17:19:39.000,0.597
i1,2023-04-28 17:19:39.000,0.779
i1,2023-04-28 17:19:39.000,0.714
i1,2023-04-28 17:19:40.000,0.742
i1,2023-04-28 17:19:40.000,0.617
i1,2023-04-28 17:19:40.000,-0.28700000000000003
i1,2023-04-28 17:19:41.000,-0.22
i1,2023-04-28 17:19:41.000,-0.177
i1,2023-04-28 17:19:41.000,0.98
i1,2023-04-28 17:19:41.000,1.016
i1,2023-04-28 17:19:42.000,0.051000000000000004
i1,2023-04-28 17:19:42.000,-0.095
i1,2023-04-28 17:19:42.000,-0.14100000000000001
i1,2023-04-28 17:19:42.000,0.17400000000000002
i1,2023-04-28 17:19:43.000,0.258
i1,2023-04-28 17:19:43.000,0.9580000000000001
i1,2023-04-28 17:19:43.000,0.913
i1,2023-04-28 17:19:43.000,0.8320000000000001
i1,2023-04-28 17:19:44.000,0.261
i1,2023-04-28 17:19:44.000,0.518
i1,2023-04-28 17:19:44.000,-0.17500000000000002
i1,2023-04-28 17:19:44.000,-0.274
i1,2023-04-28 17:19:45.000,0.969
i1,2023-04-28 17:19:45.000,0.219
i1,2023-04-28 17:19:45.000,-0.25
i1,2023-04-28 17:19:45.000,-0.181
i1,2023-04-28 17:19:46.000,-0.289
i1,2023-04-28 17:19:46.000,0.06
i1,2023-04-28 17:19:46.000,0.383
i1,2023-04-28 17:19:47.000,0.869
i1,2023-04-28 17:19:47.000,1.016
i1,2023-04-28 17:19:47.000,1.175
i1,2023-04-28 17:19:47.000,0.969
i1,2023-04-28 17:19:48.000,0.597
i1,2023-04-28 17:19:48.000,0.15
i1,2023-04-28 17:19:48.000,-0.225
i1,2023-04-28 17:19:48.000,-0.451
i1,2023-04-28 17:19:49.000,0.11900000000000001
i1,2023-04-28 17:19:49.000,-0.137
i1,2023-04-28 17:19:49.000,0.858
i1,2023-04-28 17:19:49.000,0.122
i1,2023-04-28 17:19:50.000,0.977
i1,2023-04-28 17:19:50.000,0.9580000000000001
i1,2023-04-28 17:19:50.000,0.96
