id,timestamp,Axes_Y_aaTorque
i1,2023-04-28 17:19:19.000,0.512
i1,2023-04-28 17:19:19.000,0.49
i1,2023-04-28 17:19:19.000,0.488
i1,2023-04-28 17:19:20.000,0.499
i1,2023-04-28 17:19:20.000,0.498
i1,2023-04-28 17:19:20.000,0.485
i1,2023-04-28 17:19:20.000,0.533
i1,2023-04-28 17:19:21.000,0.394
i1,2023-04-28 17:19:21.000,0.47600000000000003
i1,2023-04-28 17:19:21.000,0.438
i1,2023-04-28 17:19:22.000,0.617
i1,2023-04-28 17:19:22.000,0.48
i1,2023-04-28 17:19:22.000,0.507
i1,2023-04-28 17:19:22.000,0.562
i1,2023-04-28 17:19:23.000,0.527
i1,2023-04-28 17:19:23.000,0.606
i1,2023-04-28 17:19:23.000,0.623
i1,2023-04-28 17:19:23.000,0.449
i1,2023-04-28 17:19:24.000,0.5640000000000001
i1,2023-04-28 17:19:24.000,0.485
i1,2023-04-28 17:19:24.000,0.508
i1,2023-04-28 17:19:24.000,0.517
i1,2023-04-28 17:19:25.000,0.423
i1,2023-04-28 17:19:25.000,0.41000000000000003
i1,2023-04-28 17:19:25.000,0.332
i1,2023-04-28 17:19:25.000,0.293
i1,2023-04-28 17:19:26.000,0.366
i1,2023-04-28 17:19:26.000,0.607
i1,2023-04-28 17:19:26.000,0.551
i1,2023-04-28 17:19:26.000,0.515
i1,2023-04-28 17:19:27.000,0.513
i1,2023-04-28 17:19:27.000,0.538
i1,2023-04-28 17:19:27.000,0.457
i1,2023-04-28 17:19:28.000,0.522
i1,2023-04-28 17:19:28.000,0.929
i1,2023-04-28 17:19:28.000,0.809
i1,2023-04-28 17:19:29.000,0.764
i1,2023-04-28 17:19:29.000,0.763
i1,2023-04-28 17:19:29.000,0.856
i1,2023-04-28 17:19:29.000,0.585
i1,2023-04-28 17:19:30.000,0.8150000000000001
i1,2023-04-28 17:19:30.000,0.882
i1,2023-04-28 17:19:30.000,0.892
i1,2023-04-28 17:19:30.000,0.784
i1,2023-04-28 17:19:31.000,0.757
i1,2023-04-28 17:19:31.000,0.722
i1,2023-04-28 17:19:31.000,0.488
i1,2023-04-28 17:19:31.000,0.51
i1,2023-04-28 17:19:32.000,0.792
i1,2023-04-28 17:19:32.000,0.909
i1,2023-04-28 17:19:32.000,0.842
i1,2023-04-28 17:19:32.000,0.779
i1,2023-04-28 17:19:33.000,0.652
i1,2023-04-28 17:19:33.000,0.592
i1,2023-04-28 17:19:33.000,0.582
i1,2023-04-28 17:19:34.000,0.614
i1,2023-04-28 17:19:34.000,0.657
i1,2023-04-28 17:19:34.000,0.748
i1,2023-04-28 17:19:34.000,0.796
i1,2023-04-28 17:19:35.000,0.88
i1,2023-04-28 17:19:35.000,0.891
i1,2023-04-28 17:19:35.000,0.6970000000000001
i1,2023-04-28 17:19:35.000,0.838
i1,2023-04-28 17:19:36.000,0.535
i1,2023-04-28 17:19:36.000,0.633
i1,2023-04-28 17:19:36.000,0.807
i1,2023-04-28 17:19:36.000,0.536
i1,2023-04-28 17:19:37.000,0.523
i1,2023-04-28 17:19:37.000,0.742
i1,2023-04-28 17:19:37.000,0.784
i1,2023-04-28 17:19:37.000,0.809
i1,2023-04-28 17:19:38.000,0.862
i1,2023-04-28 17:19:38.000,0.842
i1,2023-04-28 17:19:38.000,0.504
i1,2023-04-28 17:19:38.000,0.505
i1,2023-04-28 17:19:39.000,0.527
i1,2023-04-28 17:19:39.000,0.92
i1,2023-04-28 17:19:39.000,0.9470000000000001
i1,2023-04-28 17:19:39.000,0.679
i1,2023-04-28 17:19:40.000,0.644
i1,2023-04-28 17:19:40.000,0.621
i1,2023-04-28 17:19:40.000,0.622
i1,2023-04-28 17:19:41.000,0.647
i1,2023-04-28 17:19:41.000,0.68
i1,2023-04-28 17:19:41.000,0.9410000000000001
i1,2023-04-28 17:19:41.000,0.914
i1,2023-04-28 17:19:42.000,0.501
i1,2023-04-28 17:19:42.000,0.494
i1,2023-04-28 17:19:42.000,0.49
i1,2023-04-28 17:19:42.000,0.8300000000000001
i1,2023-04-28 17:19:43.000,0.859
i1,2023-04-28 17:19:43.000,0.801
i1,2023-04-28 17:19:43.000,0.786
i1,2023-04-28 17:19:43.000,0.776
i1,2023-04-28 17:19:44.000,0.521
i1,2023-04-28 17:19:44.000,0.887
i1,2023-04-28 17:19:44.000,0.894
i1,2023-04-28 17:19:44.000,0.624
i1,2023-04-28 17:19:45.000,0.782
i1,2023-04-28 17:19:45.000,0.584
i1,2023-04-28 17:19:45.000,0.5640000000000001
i1,2023-04-28 17:19:45.000,0.602
i1,2023-04-28 17:19:46.000,0.666
i1,2023-04-28 17:19:46.000,0.746
i1,2023-04-28 17:19:46.000,0.802
i1,2023-04-28 17:19:47.000,0.871
i1,2023-04-28 17:19:47.000,0.882
i1,2023-04-28 17:19:47.000,0.838
i1,2023-04-28 17:19:47.000,0.731
i1,2023-04-28 17:19:48.000,0.641
i1,2023-04-28 17:19:48.000,0.5680000000000001
i1,2023-04-28 17:19:48.000,0.5730000000000001
i1,2023-04-28 17:19:48.000,0.645
i1,2023-04-28 17:19:49.000,0.791
i1,2023-04-28 17:19:49.000,0.522
i1,2023-04-28 17:19:49.000,0.733
i1,2023-04-28 17:19:49.000,0.785
i1,2023-04-28 17:19:50.000,0.775
i1,2023-04-28 17:19:50.000,0.879
i1,2023-04-28 17:19:50.000,0.847
i1,2023-04-28 17:19:50.000,0.499
i1,2023-04-28 17:19:51.000,0.488
i1,2023-04-28 17:19:51.000,0.884
i1,2023-04-28 17:19:51.000,0.894
i1,2023-04-28 17:19:52.000,0.927
i1,2023-04-28 17:19:52.000,0.7010000000000001
i1,2023-04-28 17:19:52.000,0.662
i1,2023-04-28 17:19:52.000,0.5690000000000001
i1,2023-04-28 17:19:53.000,0.518
i1,2023-04-28 17:19:53.000,0.91
i1,2023-04-28 17:19:53.000,0.646
i1,2023-04-28 17:19:53.000,0.731
i1,2023-04-28 17:19:54.000,0.546
i1,2023-04-28 17:19:54.000,0.545
i1,2023-04-28 17:19:54.000,0.588
i1,2023-04-28 17:19:54.000,0.635
i1,2023-04-28 17:19:55.000,0.705
i1,2023-04-28 17:19:55.000,0.773
i1,2023-04-28 17:19:55.000,0.888
i1,2023-04-28 17:19:55.000,0.6960000000000001
i1,2023-04-28 17:19:56.000,0.631
i1,2023-04-28 17:19:56.000,0.685
i1,2023-04-28 17:19:56.000,0.856
i1,2023-04-28 17:19:56.000,0.603
i1,2023-04-28 17:19:57.000,0.681
i1,2023-04-28 17:19:57.000,0.915
i1,2023-04-28 17:19:57.000,0.898
i1,2023-04-28 17:19:58.000,0.795
i1,2023-04-28 17:19:58.000,0.754
i1,2023-04-28 17:19:58.000,0.683
i1,2023-04-28 17:19:58.000,0.596
i1,2023-04-28 17:19:59.000,0.562
i1,2023-04-28 17:19:59.000,0.544
i1,2023-04-28 17:19:59.000,0.585
i1,2023-04-28 17:19:59.000,0.679
i1,2023-04-28 17:20:00.000,0.797
i1,2023-04-28 17:20:00.000,0.894
i1,2023-04-28 17:20:00.000,0.908
i1,2023-04-28 17:20:00.000,0.848
i1,2023-04-28 17:20:01.000,0.8290000000000001
i1,2023-04-28 17:20:01.000,0.613
i1,2023-04-28 17:20:01.000,0.7010000000000001
i1,2023-04-28 17:20:01.000,0.712
i1,2023-04-28 17:20:02.000,0.7000000000000001
i1,2023-04-28 17:20:02.000,0.712
i1,2023-04-28 17:20:02.000,0.736
i1,2023-04-28 17:20:02.000,0.711
i1,2023-04-28 17:20:03.000,0.267
i1,2023-04-28 17:20:03.000,0.336
i1,2023-04-28 17:20:04.000,0.482
i1,2023-04-28 17:20:04.000,0.467
i1,2023-04-28 17:20:04.000,0.463
i1,2023-04-28 17:20:04.000,0.459
