id,timestamp,Axes_Z_aaVactB
i1,2023-04-28 17:19:38.000,-116.87680432418512
i1,2023-04-28 17:19:38.000,-117.10553101753224
i1,2023-04-28 17:19:38.000,-117.43784601280595
i1,2023-04-28 17:19:39.000,-117.71063491391646
i1,2023-04-28 17:19:39.000,-117.88068575068368
i1,2023-04-28 17:19:39.000,-118.06891617391904
i1,2023-04-28 17:19:39.000,-118.16219104606623
i1,2023-04-28 17:19:40.000,-118.23926357058092
i1,2023-04-28 17:19:40.000,-118.22167374295472
i1,2023-04-28 17:19:40.000,-118.15041933587125
i1,2023-04-28 17:19:41.000,-118.00477639597324
i1,2023-04-28 17:19:41.000,-117.7934642763107
i1,2023-04-28 17:19:41.000,-117.64911870017573
i1,2023-04-28 17:19:41.000,-117.35927151723777
i1,2023-04-28 17:19:42.000,-117.110811036727
i1,2023-04-28 17:19:42.000,-116.71512304080142
i1,2023-04-28 17:19:42.000,-116.24005489974405
i1,2023-04-28 17:19:42.000,-115.87304547495621
i1,2023-04-28 17:19:43.000,-115.2499501755433
i1,2023-04-28 17:19:43.000,-114.81485026473575
i1,2023-04-28 17:19:43.000,-114.1046570193104
i1,2023-04-28 17:19:43.000,-112.64198552389472
i1,2023-04-28 17:19:44.000,-110.83792562116295
i1,2023-04-28 17:19:44.000,-108.09838690239019
i1,2023-04-28 17:19:44.000,-106.1675336353006
i1,2023-04-28 17:19:44.000,-103.35430684416453
i1,2023-04-28 17:19:45.000,-100.53420297531734
i1,2023-04-28 17:19:45.000,-103.36646908825705
i1,2023-04-28 17:19:45.000,-108.6022949218748
i1,2023-04-28 17:19:45.000,-108.6474609374998
i1,2023-04-28 17:19:46.000,-108.59863432928758
i1,2023-04-28 17:19:46.000,-108.61689385728526
i1,2023-04-28 17:19:46.000,-108.65232280214863
i1,2023-04-28 17:19:47.000,-108.61570329169348
i1,2023-04-28 17:19:47.000,-108.6669921874998
i1,2023-04-28 17:19:47.000,-108.64135664603309
i1,2023-04-28 17:19:47.000,-108.6291503906248
i1,2023-04-28 17:19:48.000,-108.64870260068415
i1,2023-04-28 17:19:48.000,-108.60232281673267
i1,2023-04-28 17:19:48.000,-108.62306623018499
i1,2023-04-28 17:19:48.000,-95.57859713146875
i1,2023-04-28 17:19:49.000,-95.78500573493564
i1,2023-04-28 17:19:49.000,-98.34766617967107
i1,2023-04-28 17:19:49.000,-100.16603958385016
i1,2023-04-28 17:19:49.000,-103.04576296382702
i1,2023-04-28 17:19:50.000,-104.0195178653554
i1,2023-04-28 17:19:50.000,-104.04489005836578
i1,2023-04-28 17:19:50.000,-104.0681485874276
