id,timestamp,i1_position_switch_pressed,i2_position_switch_pressed,i5_light_barrier_interrupted,m1_speed,o7_valve_open,o8_compressor_power_level,current_state,current_task,current_task_elapsed_seconds_since_start,current_sub_task,failure_label
Oven,2022-07-19 10:03:05.04,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,11.101816,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:05.15,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,11.212268,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:05.27,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,11.334619,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:05.42,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,11.480099,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:05.55,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,11.610347,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:05.67,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,11.735405,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:05.80,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,11.860659,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:05.93,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,11.996069,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:06.06,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,12.12605,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:06.19,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,12.254664,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:06.32,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,12.380553,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:06.43,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,12.490951,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:06.55,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,12.613225,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:06.67,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,12.736634,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:06.80,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,12.859541,transporting the workpiece to the outside of the oven,
